FollowUpID,LeadID,FollowUpDate,CallDuration,ResponseTimeMins,SiteVisit
22_3,22,2024-02-22,13,89,Yes
22_4,22,2024-02-23,11,103,No
23_0,23,2024-12-15,14,118,No
23_1,23,2024-12-16,14,27,Yes
23_2,23,2024-12-17,15,42,No
24_0,24,2024-04-22,12,78,No
24_1,24,2024-04-23,9,41,Yes
24_2,24,2024-04-24,8,46,No
24_3,24,2024-04-25,9,31,Yes
24_4,24,2024-04-26,2,32,Yes
25_0,25,2024-05-07,9,35,Yes
25_1,25,2024-05-08,7,25,Yes
25_2,25,2024-05-09,9,74,No
25_3,25,2024-05-10,14,6,Yes
26_0,26,2024-06-20,12,11,No
26_1,26,2024-06-21,12,20,No
26_2,26,2024-06-22,3,86,No
27_0,27,2024-03-04,15,119,No
27_1,27,2024-03-05,1,30,No
28_0,28,2024-09-20,10,49,No
29_0,29,2024-05-28,12,13,No
29_1,29,2024-05-29,5,81,No
29_2,29,2024-05-30,4,14,No
29_3,29,2024-05-31,13,36,No
30_0,30,2024-06-18,9,105,Yes
31_0,31,2024-08-09,6,64,No
31_1,31,2024-08-10,7,104,No
31_2,31,2024-08-11,4,92,No
31_3,31,2024-08-12,10,35,No
32_0,32,2024-12-15,14,47,No
32_1,32,2024-12-16,8,1,No
32_2,32,2024-12-17,10,18,Yes
33_0,33,2024-02-07,15,51,No
33_1,33,2024-02-08,10,117,No
33_2,33,2024-02-09,2,21,No
33_3,33,2024-02-10,14,11,Yes
34_0,34,2024-07-30,2,74,No
34_1,34,2024-07-31,5,74,Yes
34_2,34,2024-08-01,15,4,No
35_0,35,2024-10-03,2,110,No
35_1,35,2024-10-04,4,5,No
35_2,35,2024-10-05,3,77,Yes
35_3,35,2024-10-06,13,66,No
36_0,36,2024-11-07,12,12,No
36_1,36,2024-11-08,2,3,No
36_2,36,2024-11-09,9,88,No
37_0,37,2024-01-13,11,73,No
37_1,37,2024-01-14,1,49,Yes
37_2,37,2024-01-15,12,13,No
37_3,37,2024-01-16,15,84,Yes
37_4,37,2024-01-17,3,53,No
38_0,38,2024-12-08,4,57,No
38_1,38,2024-12-09,5,67,No
39_0,39,2024-11-29,7,5,Yes
39_1,39,2024-11-30,13,26,No
39_2,39,2024-12-01,11,93,No
39_3,39,2024-12-02,13,3,No
39_4,39,2024-12-03,9,78,No
40_0,40,2024-07-28,10,50,Yes
40_1,40,2024-07-29,3,36,No
40_2,40,2024-07-30,1,53,No
40_3,40,2024-07-31,14,112,No
41_0,41,2024-09-06,10,37,No
41_1,41,2024-09-07,7,32,No
42_0,42,2024-06-26,1,70,No
42_1,42,2024-06-27,11,26,No
43_0,43,2024-06-23,3,81,No
43_1,43,2024-06-24,1,103,No
44_0,44,2024-12-14,11,93,No
44_1,44,2024-12-15,14,87,Yes
44_2,44,2024-12-16,13,46,No
44_3,44,2024-12-17,9,100,No
45_0,45,2024-03-27,8,17,No
46_0,46,2024-05-26,15,32,No
47_0,47,2024-12-25,4,92,No
47_1,47,2024-12-26,8,107,No
48_0,48,2024-06-30,12,99,Yes
49_0,49,2024-07-05,14,47,No
49_1,49,2024-07-06,10,44,No
50_0,50,2024-07-13,15,31,No
50_1,50,2024-07-14,15,109,Yes
50_2,50,2024-07-15,4,15,Yes
51_0,51,2024-07-29,14,112,No
51_1,51,2024-07-30,14,55,Yes
52_0,52,2024-09-09,4,33,No
53_0,53,2024-05-24,8,88,Yes
54_0,54,2024-03-09,15,109,Yes
54_1,54,2024-03-10,6,93,No
55_0,55,2024-03-18,14,105,Yes
55_1,55,2024-03-19,1,88,Yes
55_2,55,2024-03-20,11,76,No
55_3,55,2024-03-21,5,18,No
56_0,56,2024-08-21,14,72,No
56_1,56,2024-08-22,7,109,No
56_2,56,2024-08-23,10,28,No
57_0,57,2024-02-06,7,16,No
57_1,57,2024-02-07,14,17,No
58_0,58,2024-12-20,7,120,Yes
58_1,58,2024-12-21,15,112,No
58_2,58,2024-12-22,8,71,No
58_3,58,2024-12-23,8,104,No
58_4,58,2024-12-24,10,120,No
59_0,59,2024-10-17,14,90,No
59_1,59,2024-10-18,9,29,No
59_2,59,2024-10-19,13,25,Yes
59_3,59,2024-10-20,14,37,Yes
59_4,59,2024-10-21,5,32,No
60_0,60,2024-05-21,7,76,No
60_1,60,2024-05-22,10,73,No
61_0,61,2024-04-05,7,89,No
61_1,61,2024-04-06,1,115,Yes
61_2,61,2024-04-07,9,97,Yes
61_3,61,2024-04-08,5,44,No
62_0,62,2024-10-28,4,18,No
62_1,62,2024-10-29,9,81,Yes
63_0,63,2024-12-10,8,48,Yes
63_1,63,2024-12-11,10,75,No
64_0,64,2024-06-30,5,25,No
64_1,64,2024-07-01,4,120,No
64_2,64,2024-07-02,5,112,Yes
64_3,64,2024-07-03,9,10,No
65_0,65,2024-09-19,15,91,Yes
65_1,65,2024-09-20,4,66,Yes
66_0,66,2024-02-23,8,9,No
66_1,66,2024-02-24,10,12,No
67_0,67,2024-07-27,10,20,Yes
68_0,68,2024-05-24,12,75,No
68_1,68,2024-05-25,15,72,No
68_2,68,2024-05-26,14,17,No
68_3,68,2024-05-27,13,26,No
69_0,69,2024-06-25,12,4,No
69_1,69,2024-06-26,8,96,No
69_2,69,2024-06-27,8,95,No
70_0,70,2024-07-02,6,66,No
70_1,70,2024-07-03,13,35,Yes
70_2,70,2024-07-04,9,76,Yes
70_3,70,2024-07-05,6,76,Yes
71_0,71,2024-12-06,15,10,No
71_1,71,2024-12-07,9,36,No
71_2,71,2024-12-08,14,4,No
71_3,71,2024-12-09,13,115,No
72_0,72,2024-12-23,1,10,No
72_1,72,2024-12-24,9,73,No
72_2,72,2024-12-25,9,64,No
72_3,72,2024-12-26,14,4,Yes
72_4,72,2024-12-27,8,108,No
73_0,73,2024-01-19,12,13,No
73_1,73,2024-01-20,3,93,No
73_2,73,2024-01-21,10,119,Yes
74_0,74,2024-02-08,11,6,No
75_0,75,2024-08-03,2,108,No
76_0,76,2024-06-09,12,103,No
76_1,76,2024-06-10,13,7,No
76_2,76,2024-06-11,7,17,No
76_3,76,2024-06-12,15,10,No
76_4,76,2024-06-13,11,83,No
77_0,77,2024-01-03,14,75,Yes
78_0,78,2024-06-26,12,101,Yes
78_1,78,2024-06-27,5,99,No
79_0,79,2024-03-07,2,120,Yes
79_1,79,2024-03-08,9,96,No
79_2,79,2024-03-09,4,23,Yes
80_0,80,2024-07-13,13,64,Yes
80_1,80,2024-07-14,3,64,No
80_2,80,2024-07-15,4,90,Yes
80_3,80,2024-07-16,8,12,No
81_0,81,2024-04-14,14,116,Yes
81_1,81,2024-04-15,2,66,Yes
81_2,81,2024-04-16,9,15,Yes
82_0,82,2024-03-06,11,95,Yes
82_1,82,2024-03-07,12,43,Yes
82_2,82,2024-03-08,12,91,No
82_3,82,2024-03-09,14,21,Yes
82_4,82,2024-03-10,13,43,Yes
83_0,83,2024-05-15,4,37,Yes
83_1,83,2024-05-16,9,31,No
83_2,83,2024-05-17,9,14,No
83_3,83,2024-05-18,12,89,No
84_0,84,2024-11-19,1,51,Yes
84_1,84,2024-11-20,7,77,No
84_2,84,2024-11-21,8,57,No
84_3,84,2024-11-22,11,44,Yes
85_0,85,2024-04-07,7,36,No
86_0,86,2024-01-23,12,64,No
86_1,86,2024-01-24,8,27,No
86_2,86,2024-01-25,1,45,Yes
86_3,86,2024-01-26,13,10,No
86_4,86,2024-01-27,11,10,Yes
87_0,87,2024-08-23,10,73,No
87_1,87,2024-08-24,1,42,No
87_2,87,2024-08-25,14,109,No
87_3,87,2024-08-26,5,97,No
87_4,87,2024-08-27,11,107,No
88_0,88,2024-12-03,15,96,Yes
88_1,88,2024-12-04,3,28,No
88_2,88,2024-12-05,10,120,No
89_0,89,2024-04-27,4,92,No
89_1,89,2024-04-28,2,115,No
89_2,89,2024-04-29,10,16,No
90_0,90,2024-07-08,7,78,No
90_1,90,2024-07-09,6,83,Yes
90_2,90,2024-07-10,9,60,No
90_3,90,2024-07-11,3,4,Yes
91_0,91,2024-02-15,14,17,No
91_1,91,2024-02-16,10,27,Yes
92_0,92,2024-08-29,8,62,Yes
93_0,93,2024-05-19,2,113,No
94_0,94,2024-12-11,13,60,No
94_1,94,2024-12-12,13,24,No
94_2,94,2024-12-13,1,72,Yes
95_0,95,2024-06-10,8,73,No
95_1,95,2024-06-11,11,44,No
96_0,96,2024-03-10,14,66,No
96_1,96,2024-03-11,8,94,No
97_0,97,2024-09-12,7,38,Yes
97_1,97,2024-09-13,6,104,No
97_2,97,2024-09-14,8,96,No
97_3,97,2024-09-15,6,15,Yes
97_4,97,2024-09-16,9,32,Yes
98_0,98,2024-05-15,10,31,No
98_1,98,2024-05-16,11,50,No
99_0,99,2024-08-24,9,84,No
100_0,100,2024-10-01,6,90,No
100_1,100,2024-10-02,8,118,Yes
100_2,100,2024-10-03,8,53,Yes
101_0,101,2024-06-17,7,112,No
101_1,101,2024-06-18,7,6,No
102_0,102,2024-09-23,13,98,No
102_1,102,2024-09-24,13,27,Yes
103_0,103,2024-02-06,15,23,No
103_1,103,2024-02-07,10,83,Yes
103_2,103,2024-02-08,11,42,No
103_3,103,2024-02-09,6,86,No
104_0,104,2024-07-03,2,12,No
105_0,105,2024-08-16,1,71,No
105_1,105,2024-08-17,13,104,No
105_2,105,2024-08-18,7,98,Yes
105_3,105,2024-08-19,3,58,Yes
106_0,106,2024-08-07,10,12,Yes
107_0,107,2024-05-31,15,66,No
107_1,107,2024-06-01,15,20,Yes
107_2,107,2024-06-02,8,69,Yes
108_0,108,2024-12-20,2,36,No
108_1,108,2024-12-21,4,113,No
108_2,108,2024-12-22,13,43,No
108_3,108,2024-12-23,12,39,Yes
108_4,108,2024-12-24,4,93,Yes
109_0,109,2024-05-15,6,2,No
110_0,110,2024-06-17,7,13,No
110_1,110,2024-06-18,12,75,No
111_0,111,2024-08-23,15,106,Yes
111_1,111,2024-08-24,1,71,Yes
111_2,111,2024-08-25,3,2,Yes
111_3,111,2024-08-26,10,17,No
111_4,111,2024-08-27,13,120,No
112_0,112,2024-07-16,3,84,No
112_1,112,2024-07-17,5,94,No
112_2,112,2024-07-18,15,94,No
112_3,112,2024-07-19,7,115,Yes
112_4,112,2024-07-20,14,68,No
113_0,113,2024-11-05,15,117,No
113_1,113,2024-11-06,6,25,Yes
113_2,113,2024-11-07,1,31,Yes
114_0,114,2024-10-20,8,10,No
114_1,114,2024-10-21,13,58,No
114_2,114,2024-10-22,2,75,Yes
114_3,114,2024-10-23,1,99,No
115_0,115,2024-01-05,8,2,Yes
115_1,115,2024-01-06,9,76,No
115_2,115,2024-01-07,3,18,Yes
115_3,115,2024-01-08,4,116,No
116_0,116,2024-10-22,3,85,No
116_1,116,2024-10-23,8,2,No
116_2,116,2024-10-24,9,26,No
116_3,116,2024-10-25,13,81,No
116_4,116,2024-10-26,4,29,No
117_0,117,2024-01-03,9,89,No
117_1,117,2024-01-04,4,63,No
118_0,118,2024-07-31,12,108,No
118_1,118,2024-08-01,1,114,No
118_2,118,2024-08-02,1,37,Yes
119_0,119,2024-02-26,3,102,No
120_0,120,2024-08-18,11,5,No
121_0,121,2024-07-13,1,17,Yes
121_1,121,2024-07-14,3,45,No
121_2,121,2024-07-15,12,69,No
121_3,121,2024-07-16,9,31,No
121_4,121,2024-07-17,11,29,No
122_0,122,2024-10-30,15,21,No
122_1,122,2024-10-31,7,90,Yes
122_2,122,2024-11-01,9,117,Yes
123_0,123,2024-02-06,9,89,No
123_1,123,2024-02-07,14,112,No
123_2,123,2024-02-08,15,44,No
123_3,123,2024-02-09,12,44,No
123_4,123,2024-02-10,4,120,No
124_0,124,2024-01-02,12,20,Yes
124_1,124,2024-01-03,9,84,Yes
125_0,125,2024-11-30,5,80,No
126_0,126,2024-10-11,12,94,No
126_1,126,2024-10-12,15,2,No
127_0,127,2024-11-23,9,71,No
127_1,127,2024-11-24,14,23,No
127_2,127,2024-11-25,13,91,No
127_3,127,2024-11-26,1,102,No
128_0,128,2024-01-13,10,101,No
128_1,128,2024-01-14,4,58,Yes
128_2,128,2024-01-15,1,99,No
129_0,129,2024-04-24,15,26,No
130_0,130,2024-05-30,9,71,No
130_1,130,2024-05-31,6,76,No
130_2,130,2024-06-01,12,40,No
131_0,131,2024-02-11,3,88,No
132_0,132,2024-07-04,2,120,No
132_1,132,2024-07-05,5,65,No
133_0,133,2024-06-28,1,39,No
133_1,133,2024-06-29,10,17,No
134_0,134,2024-06-23,7,101,No
134_1,134,2024-06-24,9,15,No
134_2,134,2024-06-25,14,111,No
134_3,134,2024-06-26,10,70,Yes
134_4,134,2024-06-27,5,49,Yes
135_0,135,2024-06-29,12,101,Yes
135_1,135,2024-06-30,15,6,No
135_2,135,2024-07-01,2,32,No
135_3,135,2024-07-02,5,93,No
135_4,135,2024-07-03,7,28,No
136_0,136,2024-07-23,12,68,No
136_1,136,2024-07-24,5,115,No
136_2,136,2024-07-25,7,111,No
137_0,137,2024-01-10,1,23,No
138_0,138,2024-11-06,9,22,No
138_1,138,2024-11-07,4,55,No
139_0,139,2024-10-07,15,59,Yes
139_1,139,2024-10-08,2,69,No
139_2,139,2024-10-09,2,117,No
140_0,140,2024-04-29,3,55,No
140_1,140,2024-04-30,3,93,Yes
141_0,141,2024-01-27,7,113,No
142_0,142,2024-06-10,11,20,No
142_1,142,2024-06-11,3,71,No
142_2,142,2024-06-12,4,21,Yes
142_3,142,2024-06-13,7,22,Yes
142_4,142,2024-06-14,2,14,Yes
143_0,143,2024-10-27,6,89,No
143_1,143,2024-10-28,11,75,No
143_2,143,2024-10-29,8,73,Yes
143_3,143,2024-10-30,9,70,Yes
144_0,144,2024-04-10,12,53,No
144_1,144,2024-04-11,13,82,No
145_0,145,2024-12-25,11,61,No
145_1,145,2024-12-26,1,84,No
146_0,146,2024-03-19,7,36,No
146_1,146,2024-03-20,13,65,Yes
147_0,147,2024-11-10,2,114,No
147_1,147,2024-11-11,2,35,No
147_2,147,2024-11-12,10,61,No
148_0,148,2024-05-29,12,54,No
148_1,148,2024-05-30,7,101,Yes
148_2,148,2024-05-31,4,95,No
148_3,148,2024-06-01,2,95,No
148_4,148,2024-06-02,12,89,No
149_0,149,2024-08-21,14,92,No
149_1,149,2024-08-22,11,107,No
149_2,149,2024-08-23,4,111,No
149_3,149,2024-08-24,11,118,No
149_4,149,2024-08-25,9,30,No
150_0,150,2024-07-18,8,22,Yes
151_0,151,2024-09-23,7,110,No
151_1,151,2024-09-24,1,48,Yes
151_2,151,2024-09-25,8,28,No
152_0,152,2024-06-23,11,22,Yes
152_1,152,2024-06-24,6,62,Yes
152_2,152,2024-06-25,9,39,Yes
153_0,153,2024-04-03,10,110,No
154_0,154,2024-08-04,4,120,Yes
154_1,154,2024-08-05,9,29,Yes
154_2,154,2024-08-06,7,82,No
155_0,155,2024-07-31,6,34,No
155_1,155,2024-08-01,3,35,No
155_2,155,2024-08-02,11,105,No
155_3,155,2024-08-03,4,73,No
156_0,156,2024-08-27,7,109,No
156_1,156,2024-08-28,1,111,Yes
156_2,156,2024-08-29,8,42,No
156_3,156,2024-08-30,12,57,No
157_0,157,2024-12-08,6,103,No
157_1,157,2024-12-09,11,59,Yes
157_2,157,2024-12-10,15,72,No
158_0,158,2024-11-21,15,106,Yes
158_1,158,2024-11-22,15,15,No
158_2,158,2024-11-23,13,64,No
158_3,158,2024-11-24,15,79,Yes
158_4,158,2024-11-25,2,46,No
159_0,159,2024-11-12,4,67,Yes
159_1,159,2024-11-13,4,93,Yes
160_0,160,2024-09-07,6,44,Yes
160_1,160,2024-09-08,7,39,Yes
160_2,160,2024-09-09,11,64,No
160_3,160,2024-09-10,15,16,No
161_0,161,2024-02-05,2,4,Yes
161_1,161,2024-02-06,7,42,Yes
161_2,161,2024-02-07,12,66,No
161_3,161,2024-02-08,1,10,No
162_0,162,2024-03-24,4,80,No
162_1,162,2024-03-25,2,104,No
162_2,162,2024-03-26,5,15,Yes
163_0,163,2024-02-13,7,54,Yes
163_1,163,2024-02-14,11,2,Yes
163_2,163,2024-02-15,6,18,No
163_3,163,2024-02-16,13,69,Yes
163_4,163,2024-02-17,13,40,No
164_0,164,2024-07-01,11,119,No
164_1,164,2024-07-02,11,91,No
165_0,165,2024-01-14,3,59,No
165_1,165,2024-01-15,11,24,Yes
165_2,165,2024-01-16,10,49,Yes
165_3,165,2024-01-17,5,107,Yes
166_0,166,2024-05-17,4,53,Yes
166_1,166,2024-05-18,9,13,Yes
167_0,167,2024-01-05,9,109,No
167_1,167,2024-01-06,12,32,No
167_2,167,2024-01-07,15,49,No
168_0,168,2024-09-26,10,33,No
168_1,168,2024-09-27,6,5,No
168_2,168,2024-09-28,13,84,Yes
168_3,168,2024-09-29,2,57,No
168_4,168,2024-09-30,4,99,No
169_0,169,2024-11-20,6,13,No
169_1,169,2024-11-21,5,37,Yes
169_2,169,2024-11-22,15,66,Yes
169_3,169,2024-11-23,11,10,No
170_0,170,2024-09-25,14,32,No
170_1,170,2024-09-26,10,71,Yes
171_0,171,2024-04-02,8,42,No
171_1,171,2024-04-03,15,77,Yes
171_2,171,2024-04-04,13,39,Yes
171_3,171,2024-04-05,11,1,Yes
172_0,172,2024-12-07,11,94,No
172_1,172,2024-12-08,1,15,No
173_0,173,2024-12-21,7,109,No
173_1,173,2024-12-22,10,30,No
174_0,174,2024-07-22,6,1,No
175_0,175,2024-08-13,15,32,No
175_1,175,2024-08-14,3,14,No
175_2,175,2024-08-15,13,91,No
175_3,175,2024-08-16,10,51,No
176_0,176,2024-04-06,13,112,Yes
176_1,176,2024-04-07,12,20,No
176_2,176,2024-04-08,13,9,Yes
176_3,176,2024-04-09,12,117,Yes
176_4,176,2024-04-10,8,55,No
177_0,177,2024-10-05,4,65,No
177_1,177,2024-10-06,15,57,Yes
178_0,178,2024-02-28,5,24,No
178_1,178,2024-02-29,2,112,No
179_0,179,2024-08-02,5,48,Yes
179_1,179,2024-08-03,10,86,No
179_2,179,2024-08-04,8,37,No
179_3,179,2024-08-05,12,85,No
179_4,179,2024-08-06,8,50,No
180_0,180,2024-05-29,12,1,No
180_1,180,2024-05-30,8,2,No
180_2,180,2024-05-31,4,10,Yes
180_3,180,2024-06-01,14,9,Yes
180_4,180,2024-06-02,3,74,No
181_0,181,2024-07-24,15,87,No
181_1,181,2024-07-25,12,10,No
181_2,181,2024-07-26,1,108,Yes
182_0,182,2024-07-04,14,109,No
182_1,182,2024-07-05,13,8,No
182_2,182,2024-07-06,4,96,Yes
182_3,182,2024-07-07,9,116,Yes
182_4,182,2024-07-08,4,13,No
183_0,183,2024-05-15,13,94,No
184_0,184,2024-09-18,15,86,No
184_1,184,2024-09-19,12,14,No
184_2,184,2024-09-20,2,120,No
184_3,184,2024-09-21,7,31,No
185_0,185,2024-06-29,1,58,No
185_1,185,2024-06-30,13,77,No
186_0,186,2024-07-06,4,18,No
187_0,187,2024-06-30,4,21,No
187_1,187,2024-07-01,13,68,No
187_2,187,2024-07-02,12,66,Yes
187_3,187,2024-07-03,8,79,No
188_0,188,2024-10-02,2,35,Yes
188_1,188,2024-10-03,5,37,Yes
188_2,188,2024-10-04,5,74,Yes
188_3,188,2024-10-05,14,77,No
188_4,188,2024-10-06,10,64,Yes
189_0,189,2024-04-04,11,7,No
189_1,189,2024-04-05,9,110,No
189_2,189,2024-04-06,10,53,No
189_3,189,2024-04-07,9,18,No
189_4,189,2024-04-08,13,68,No
190_0,190,2024-03-28,11,22,No
190_1,190,2024-03-29,3,67,Yes
190_2,190,2024-03-30,10,72,No
190_3,190,2024-03-31,1,114,Yes
191_0,191,2024-01-14,12,14,Yes
191_1,191,2024-01-15,8,110,Yes
191_2,191,2024-01-16,7,58,No
191_3,191,2024-01-17,4,89,No
191_4,191,2024-01-18,14,58,No
192_0,192,2024-03-05,7,90,No
192_1,192,2024-03-06,3,37,Yes
192_2,192,2024-03-07,2,66,No
192_3,192,2024-03-08,2,106,Yes
193_0,193,2024-05-15,15,90,Yes
194_0,194,2024-05-12,13,31,Yes
194_1,194,2024-05-13,2,109,No
194_2,194,2024-05-14,8,40,No
194_3,194,2024-05-15,13,101,No
195_0,195,2024-05-10,4,106,Yes
195_1,195,2024-05-11,2,76,No
195_2,195,2024-05-12,4,5,Yes
196_0,196,2024-01-22,9,95,No
196_1,196,2024-01-23,7,64,No
196_2,196,2024-01-24,5,40,Yes
196_3,196,2024-01-25,1,20,Yes
196_4,196,2024-01-26,1,94,No
197_0,197,2024-02-04,8,3,No
197_1,197,2024-02-05,14,106,No
197_2,197,2024-02-06,9,95,No
197_3,197,2024-02-07,12,47,No
198_0,198,2024-06-03,15,87,No
198_1,198,2024-06-04,1,96,No
198_2,198,2024-06-05,14,61,No
198_3,198,2024-06-06,14,74,Yes
198_4,198,2024-06-07,14,6,Yes
199_0,199,2024-11-12,6,23,No
199_1,199,2024-11-13,7,37,No
199_2,199,2024-11-14,1,72,Yes
199_3,199,2024-11-15,15,58,Yes
200_0,200,2024-05-08,10,74,No
200_1,200,2024-05-09,8,16,No
201_0,201,2024-10-27,7,104,Yes
201_1,201,2024-10-28,8,80,No
201_2,201,2024-10-29,9,13,No
201_3,201,2024-10-30,14,58,Yes
202_0,202,2024-02-16,7,28,No
202_1,202,2024-02-17,9,40,Yes
202_2,202,2024-02-18,14,64,No
202_3,202,2024-02-19,10,63,No
202_4,202,2024-02-20,13,13,No
203_0,203,2024-02-05,8,50,Yes
203_1,203,2024-02-06,9,75,No
203_2,203,2024-02-07,11,104,Yes
203_3,203,2024-02-08,9,117,No
203_4,203,2024-02-09,2,87,No
204_0,204,2024-04-21,15,119,No
205_0,205,2024-02-21,15,11,Yes
205_1,205,2024-02-22,13,14,No
205_2,205,2024-02-23,11,21,Yes
206_0,206,2024-01-08,10,85,No
206_1,206,2024-01-09,11,42,Yes
206_2,206,2024-01-10,4,14,No
207_0,207,2024-08-12,9,67,Yes
207_1,207,2024-08-13,13,106,No
207_2,207,2024-08-14,3,88,Yes
208_0,208,2024-02-10,7,78,Yes
209_0,209,2024-02-03,3,43,No
210_0,210,2024-10-01,13,98,No
210_1,210,2024-10-02,1,6,No
210_2,210,2024-10-03,15,16,No
210_3,210,2024-10-04,5,88,No
210_4,210,2024-10-05,8,51,No
211_0,211,2024-08-24,3,44,No
211_1,211,2024-08-25,3,52,Yes
211_2,211,2024-08-26,6,58,No
212_0,212,2024-12-01,12,4,Yes
212_1,212,2024-12-02,13,106,No
212_2,212,2024-12-03,12,92,Yes
213_0,213,2024-11-14,1,86,Yes
214_0,214,2024-06-16,9,83,Yes
214_1,214,2024-06-17,4,83,No
215_0,215,2024-10-30,5,21,No
215_1,215,2024-10-31,8,98,No
215_2,215,2024-11-01,3,67,Yes
215_3,215,2024-11-02,1,100,No
216_0,216,2024-11-20,6,19,No
216_1,216,2024-11-21,1,30,No
216_2,216,2024-11-22,4,82,Yes
216_3,216,2024-11-23,14,44,No
217_0,217,2024-10-13,5,73,No
217_1,217,2024-10-14,3,44,No
217_2,217,2024-10-15,6,21,Yes
218_0,218,2024-07-27,13,34,No
218_1,218,2024-07-28,10,115,No
218_2,218,2024-07-29,14,12,No
218_3,218,2024-07-30,7,54,No
218_4,218,2024-07-31,5,36,No
219_0,219,2024-09-12,9,80,Yes
220_0,220,2024-02-09,4,109,No
220_1,220,2024-02-10,3,34,No
220_2,220,2024-02-11,13,80,Yes
220_3,220,2024-02-12,7,82,No
221_0,221,2024-02-10,7,115,No
221_1,221,2024-02-11,4,102,No
221_2,221,2024-02-12,8,79,Yes
222_0,222,2024-08-20,11,79,No
222_1,222,2024-08-21,9,114,No
222_2,222,2024-08-22,2,18,No
222_3,222,2024-08-23,6,85,No
222_4,222,2024-08-24,1,77,No
223_0,223,2024-10-14,5,43,No
223_1,223,2024-10-15,5,22,No
223_2,223,2024-10-16,12,117,No
224_0,224,2024-01-04,15,51,No
224_1,224,2024-01-05,12,39,No
224_2,224,2024-01-06,12,40,No
224_3,224,2024-01-07,4,95,No
225_0,225,2024-01-24,4,14,No
225_1,225,2024-01-25,1,18,No
225_2,225,2024-01-26,1,101,No
226_0,226,2024-01-16,5,118,Yes
226_1,226,2024-01-17,10,19,No
227_0,227,2024-08-15,3,107,Yes
227_1,227,2024-08-16,9,63,No
227_2,227,2024-08-17,7,91,No
227_3,227,2024-08-18,8,65,No
227_4,227,2024-08-19,11,92,No
228_0,228,2024-04-26,7,73,Yes
229_0,229,2024-11-09,8,6,No
229_1,229,2024-11-10,10,84,No
230_0,230,2024-08-12,3,61,Yes
230_1,230,2024-08-13,15,37,No
230_2,230,2024-08-14,1,86,Yes
230_3,230,2024-08-15,11,14,No
231_0,231,2024-01-09,5,109,No
231_1,231,2024-01-10,13,31,Yes
231_2,231,2024-01-11,10,8,Yes
232_0,232,2024-10-12,5,12,No
233_0,233,2024-10-23,4,63,No
233_1,233,2024-10-24,10,76,Yes
234_0,234,2024-02-08,11,44,No
234_1,234,2024-02-09,10,91,No
234_2,234,2024-02-10,11,53,No
235_0,235,2024-03-26,11,7,Yes
235_1,235,2024-03-27,1,61,No
236_0,236,2024-02-05,10,93,Yes
237_0,237,2024-08-14,3,41,Yes
237_1,237,2024-08-15,11,87,Yes
237_2,237,2024-08-16,5,26,Yes
237_3,237,2024-08-17,4,88,Yes
238_0,238,2024-12-16,1,27,No
238_1,238,2024-12-17,5,62,No
239_0,239,2024-12-28,3,109,No
239_1,239,2024-12-29,10,98,No
