BookingID,LeadID,BookingDate,BookingAmount,PaymentStatus
B239,239,2025-01-29,18189752.909700938,Pending
B251,251,2025-01-17,5405909.645057288,Pending
B255,255,2024-10-04,12073844.342426386,Paid
B258,258,2024-02-27,6146090.717297573,Pending
B287,287,2024-09-27,9363508.752599787,Pending
B288,288,2024-07-08,6474393.22025795,Pending
B290,290,2024-09-10,21648601.56931065,Paid
B293,293,2024-02-21,19630545.312939208,Paid
B310,310,2024-05-31,17955176.177661628,Pending
B311,311,2024-08-25,17658887.155702934,Pending
B314,314,2024-08-10,18857603.378048383,Pending
B329,329,2025-01-29,16477561.36752714,Paid
B338,338,2024-06-19,17231648.986806806,Partial
B349,349,2024-02-25,12315563.391118262,Paid
B354,354,2024-08-14,16620993.454129176,Paid
B359,359,2024-05-05,16451025.408480387,Pending
B360,360,2024-04-30,8962268.562585609,Pending
B362,362,2024-03-24,13520268.048111387,Pending
B366,366,2024-07-24,15364169.540985689,Pending
B372,372,2024-03-26,17603913.6842491,Partial
B387,387,2024-12-14,16596673.163228175,Partial
B393,393,2024-12-09,15933916.023911277,Partial
B403,403,2024-07-07,17391909.641078398,Partial
B415,415,2024-08-21,12628269.588604305,Paid
B417,417,2024-05-27,11195478.318462033,Partial
B426,426,2024-03-03,6348919.605885812,Paid
B429,429,2024-08-22,3302105.101625118,Partial
B446,446,2024-05-19,14607849.37028182,Paid
B452,452,2024-10-26,15293762.843862519,Paid
B454,454,2024-01-28,3679335.662950256,Pending
B460,460,2024-10-05,11764262.748667777,Partial
B471,471,2024-06-26,15179517.859962368,Paid
B475,475,2024-01-30,12802295.664882021,Partial
B480,480,2024-10-24,6542627.651598838,Pending
B481,481,2024-06-23,19600410.32528239,Paid
B482,482,2024-10-02,9298099.14023889,Paid
B483,483,2024-07-29,10063933.773727493,Paid
B493,493,2024-02-06,9959608.36667881,Pending
B495,495,2024-02-27,8462987.36629786,Partial
B497,497,2024-06-03,8012684.026298394,Pending
B499,499,2024-02-17,5611926.436211753,Paid
B506,506,2024-10-10,6044766.304732001,Paid
B508,508,2024-09-05,12231875.476213422,Pending
B514,514,2024-11-10,20409021.161852587,Partial
B523,523,2024-08-08,3370991.50986549,Pending
B531,531,2024-04-08,6785001.224313404,Pending
B533,533,2024-11-13,11984768.230504304,Paid
B534,534,2024-12-24,13065094.070403105,Pending
B535,535,2024-01-19,10214730.838364987,Paid
B538,538,2024-01-13,21844049.377538163,Paid
B544,544,2024-10-21,14902568.15437016,Partial
B551,551,2024-01-28,14286779.30036624,Paid
B566,566,2024-02-03,22874780.696962643,Partial
B573,573,2024-07-26,3628772.7100519235,Pending
B575,575,2024-08-03,16430671.232989877,Paid
B597,597,2024-12-10,14320844.079242392,Paid
B600,600,2024-05-22,14645859.412089631,Pending
B609,609,2024-09-14,11826671.927063748,Paid
B611,611,2024-03-14,15923017.853286952,Pending
B618,618,2024-04-19,10050128.01509025,Pending
B619,619,2024-08-04,19555574.12110743,Partial
B624,624,2024-04-13,6311399.643685486,Partial
B630,630,2024-10-25,6374981.585358204,Pending
B643,643,2024-07-27,11901357.926979858,Pending
B654,654,2024-05-02,22811233.143028792,Paid
B658,658,2025-02-18,6938047.705058945,Paid
B670,670,2024-04-20,14590943.096817458,Paid
B678,678,2024-03-14,21259370.330248743,Partial
B694,694,2024-07-13,18099993.95189895,Partial
B695,695,2024-03-14,4576133.021955851,Paid
B696,696,2024-10-14,11413843.226592066,Pending
B712,712,2024-07-26,18332485.456385437,Pending
B713,713,2024-05-01,6551490.474073835,Pending
B715,715,2024-11-07,13649234.315381618,Pending
B716,716,2024-11-28,14161669.175871653,Paid
B725,725,2024-11-22,12912224.257728456,Partial
B737,737,2024-12-25,8397141.211266115,Paid
B740,740,2024-09-22,6417095.8673733035,Partial
B748,748,2024-09-21,4409259.458991572,Paid
B755,755,2024-04-20,20661842.219576094,Paid
B756,756,2024-12-20,6542585.19252311,Pending
B761,761,2024-07-05,9406987.158102823,Pending
B764,764,2024-10-30,22563917.498909526,Partial
B782,782,2024-06-12,10108997.148890663,Partial
B788,788,2024-11-09,6631226.752849806,Paid
B791,791,2025-02-13,5499736.864968992,Paid
B793,793,2024-02-28,11215597.013913227,Partial
B796,796,2024-11-22,19624493.966552634,Paid
B809,809,2024-09-17,17099076.258398317,Pending
B820,820,2024-05-26,7456653.661560073,Partial
B824,824,2024-05-17,19710930.36390785,Partial
B830,830,2024-11-07,19352892.657262616,Paid
B832,832,2024-12-05,19387241.21505398,Partial
B845,845,2024-10-24,17950278.54196359,Paid
B846,846,2024-04-23,10439787.9510022,Partial
B853,853,2024-11-24,12060993.865910258,Paid
B854,854,2024-12-01,7660935.391698937,Pending
B865,865,2024-02-01,17612664.995261557,Paid
B870,870,2024-10-15,21858588.424817774,Partial
B873,873,2025-01-05,10345718.871647097,Paid
B878,878,2024-06-21,12995440.481966764,Partial
B880,880,2024-10-22,16733423.561864175,Pending
B883,883,2024-07-28,6293543.413180158,Partial
B886,886,2024-03-14,5558846.219874788,Pending
B891,891,2024-02-17,5141607.821337682,Paid
B896,896,2025-01-12,14624006.067277122,Partial
B902,902,2024-07-09,20450289.500457365,Paid
B903,903,2024-12-20,14594609.959297596,Pending
B908,908,2024-07-02,21741757.359150913,Paid
B912,912,2024-07-28,13574649.86432646,Pending
B914,914,2024-08-08,4518492.753753965,Pending
B930,930,2024-04-11,17568650.371114872,Partial
B931,931,2024-03-02,10429644.905713009,Pending
B941,941,2024-08-04,11431259.151702285,Partial
B944,944,2024-11-22,18513635.932096556,Pending
B950,950,2025-02-14,18736203.450730864,Paid
B951,951,2024-08-23,17041973.695675034,Partial
B963,963,2024-03-12,12814855.760006094,Partial
B964,964,2024-06-05,19954724.436113432,Pending
B966,966,2024-05-05,17353952.778151236,Paid
B984,984,2024-02-28,13718808.743610179,Partial
B1004,1004,2024-08-21,5860073.297511507,Paid
B1015,1015,2024-09-08,22086455.847234014,Partial
B1017,1017,2025-02-05,16763887.113819191,Partial
B1021,1021,2024-07-16,17876002.018793028,Partial
B1023,1023,2024-09-27,17494274.428979848,Paid
B1025,1025,2024-11-09,20529040.4924082,Paid
B1033,1033,2024-08-20,6765323.497557017,Pending
B1034,1034,2024-08-15,16633215.572040714,Paid
B1037,1037,2024-10-16,12633086.702899525,Pending
B1038,1038,2024-07-21,10997938.480004188,Partial
B1054,1054,2024-02-03,6061118.589525873,Paid
B1055,1055,2024-12-13,12243728.090327345,Paid
B1056,1056,2024-02-20,17237459.079928957,Partial
B1064,1064,2024-10-07,15547650.963836446,Paid
B1069,1069,2024-03-06,5631557.240093151,Partial
B1070,1070,2024-11-02,7733465.301576086,Pending
B1076,1076,2024-05-10,9397734.933490638,Paid
B1082,1082,2024-03-17,16750132.69775872,Partial
B1084,1084,2024-09-29,11863287.336508444,Pending
B1086,1086,2024-07-06,10423028.494840007,Partial
B1090,1090,2024-04-04,18052605.763086874,Paid
B1094,1094,2024-06-30,12950034.375147903,Pending
B1095,1095,2024-03-27,12056715.098968439,Pending
B1097,1097,2024-10-09,17521329.69264556,Paid
B1118,1118,2024-04-20,12125868.164572326,Paid
B1120,1120,2024-02-16,23184136.545186732,Pending
B1123,1123,2024-11-19,12844479.472324718,Pending
B1127,1127,2024-02-20,16026286.276474431,Paid
B1131,1131,2024-10-22,14251568.183873367,Partial
B1135,1135,2024-03-14,12134530.512180908,Pending
B1144,1144,2024-08-15,14332385.012849042,Pending
B1150,1150,2024-06-11,20579555.82875877,Paid
B1153,1153,2024-05-16,3973342.2653739234,Paid
B1156,1156,2024-07-04,9659010.492521677,Pending
B1185,1185,2024-11-21,14649731.928083012,Partial
B1187,1187,2024-11-20,17418100.114124138,Paid
B1194,1194,2024-01-21,8579470.705076575,Pending
B1196,1196,2024-06-23,8823797.464653755,Pending
B1202,1202,2025-01-12,20201639.001595758,Pending
B1207,1207,2025-01-06,9880682.332833733,Pending
B1210,1210,2024-08-26,19812598.199551184,Partial
B1211,1211,2024-02-01,16437997.237333655,Paid
B1214,1214,2024-09-28,11884921.45071558,Partial
B1221,1221,2024-01-24,10301163.783973329,Paid
B1235,1235,2024-06-03,16275960.455702085,Paid
B1237,1237,2024-08-31,16625910.342137713,Paid
B1242,1242,2024-03-13,18108181.317113664,Paid
B1249,1249,2024-12-21,18479347.36634668,Paid
B1258,1258,2024-05-16,17939689.48575199,Pending
B1281,1281,2024-03-31,9683759.32884805,Pending
B1282,1282,2024-02-15,18482642.60557746,Pending
B1286,1286,2025-01-06,8505428.581005685,Paid
B1290,1290,2024-09-16,5829851.111996854,Partial
B1291,1291,2024-02-27,9466177.12748157,Partial
B1301,1301,2024-04-30,15774440.340057842,Paid
B1335,1335,2024-06-14,5324588.620091495,Paid
B1338,1338,2024-09-01,4314912.798493294,Partial
B1343,1343,2024-10-23,17403189.17407508,Pending
B1352,1352,2024-03-14,13499849.324664384,Partial
B1353,1353,2024-12-22,16463774.504396534,Paid
B1359,1359,2024-11-28,18639242.65126969,Partial
B1360,1360,2024-02-20,16118586.187633688,Paid
B1370,1370,2024-03-22,19349286.696992617,Pending
B1372,1372,2024-09-09,12645153.309009004,Paid
B1373,1373,2024-06-15,21269206.8034418,Partial
B1379,1379,2024-03-07,16557760.622147541,Pending
B1382,1382,2024-02-02,10297936.399916627,Paid
B1391,1391,2024-09-12,16241123.552529026,Partial
B1394,1394,2024-12-14,10157086.520475214,Paid
B1398,1398,2024-12-30,7229399.5999060925,Pending
B1399,1399,2024-08-20,16845468.743122194,Paid
B1410,1410,2024-04-13,22583984.71587028,Paid
B1416,1416,2024-03-22,11474851.876370898,Pending
B1418,1418,2024-02-09,16237894.354740381,Partial
B1424,1424,2024-05-06,12774474.01876498,Paid
B1426,1426,2024-07-25,12859111.428882727,Pending
B1433,1433,2024-03-05,11581346.99753633,Partial
B1440,1440,2024-03-19,7768462.529052815,Pending
B1454,1454,2024-10-26,8023125.455645268,Pending
B1458,1458,2024-02-06,13822583.48217906,Pending
B1459,1459,2024-08-22,16079388.140103186,Partial
B1467,1467,2024-02-04,16777609.37600272,Paid
B1475,1475,2024-06-18,14261037.54922149,Paid
B1481,1481,2025-01-05,5496630.636939905,Paid
B1488,1488,2024-09-02,4011754.919464106,Partial
B1490,1490,2024-12-23,21756409.42546327,Pending
B1509,1509,2024-04-03,13997433.977368053,Partial
B1512,1512,2024-06-19,7108341.113903782,Pending
B1521,1521,2024-07-30,14432049.770816844,Partial
B1525,1525,2024-10-09,20840336.204430223,Paid
B1527,1527,2024-11-20,18491426.45000565,Partial
B1530,1530,2024-09-19,4571913.43996939,Pending
B1535,1535,2024-05-09,11938546.402227871,Partial
B1540,1540,2024-07-06,14356932.969680939,Paid
B1556,1556,2024-11-12,4636364.145096074,Pending
B1564,1564,2024-11-11,12175504.941455191,Paid
B1565,1565,2024-08-27,16385374.948201139,Paid
B1569,1569,2024-09-25,12793339.757847577,Partial
B1571,1571,2024-06-06,14829592.154166654,Partial
B1585,1585,2024-07-08,8133718.880333689,Pending
B1587,1587,2024-09-13,20084671.80628381,Pending
B1588,1588,2024-03-05,10108294.733546384,Paid
B1592,1592,2024-08-04,11335355.090423506,Partial
B1594,1594,2024-03-16,4692792.713538536,Pending
B1598,1598,2024-03-25,3804230.1861880305,Partial
B1605,1605,2024-12-08,17563302.38355378,Paid
B1610,1610,2024-02-23,11334986.053953601,Partial
B1612,1612,2024-04-14,5912202.996712709,Paid
B1618,1618,2024-10-17,18592635.44452861,Pending
B1619,1619,2024-06-17,21152543.22445063,Pending
B1621,1621,2024-07-06,20667258.12764092,Paid
B1626,1626,2024-05-21,22453338.270604085,Pending
B1637,1637,2024-08-17,8477585.923948506,Paid
B1642,1642,2024-08-18,20537737.59033218,Partial
B1649,1649,2024-10-23,13961155.47719855,Pending
B1652,1652,2024-02-07,12391450.51289911,Pending
B1656,1656,2024-02-17,11837010.80911667,Paid
B1664,1664,2024-07-10,15420223.284510106,Pending
B1667,1667,2024-08-11,6827297.190884863,Partial
B1669,1669,2024-01-21,15918693.991681233,Paid
B1670,1670,2024-12-04,12404067.904314725,Partial
B1674,1674,2024-12-07,18110311.047256358,Pending
B1682,1682,2024-04-26,11401121.593368333,Paid
B1690,1690,2024-05-15,18677815.923661355,Pending
B1697,1697,2024-03-27,13584469.073289063,Partial
B1706,1706,2024-12-27,3743264.959222079,Paid
B1711,1711,2024-12-02,8908450.56233222,Paid
B1721,1721,2024-07-19,5313924.943056594,Pending
B1729,1729,2025-01-21,20213535.872111004,Partial
B1733,1733,2024-04-16,17509329.047140878,Partial
B1734,1734,2024-12-28,16438489.143958388,Pending
B1742,1742,2024-03-28,7887125.521688784,Paid
B1748,1748,2024-12-12,11460848.637278244,Paid
B1749,1749,2024-06-14,10970088.730626455,Pending
B1753,1753,2024-07-23,14407215.862104805,Partial
B1754,1754,2024-05-02,13806034.028025987,Partial
B1757,1757,2024-06-15,9981014.586359752,Paid
B1759,1759,2024-11-02,10846851.418557178,Paid
B1761,1761,2024-08-27,22734724.109245617,Paid
B1766,1766,2024-12-03,12485551.55944594,Partial
B1770,1770,2024-09-25,22670164.40424369,Partial
B1777,1777,2024-05-02,13352154.741494715,Paid
B1781,1781,2024-03-02,6202903.396670332,Partial
B1788,1788,2024-02-22,13871022.423135728,Paid
B1790,1790,2024-05-06,14881925.212007536,Partial
B1830,1830,2024-06-26,10535918.534197422,Paid
B1831,1831,2025-01-13,12668018.300453333,Pending
B1832,1832,2024-10-04,9662630.206923217,Paid
B1845,1845,2024-07-12,12613133.46060227,Partial
B1853,1853,2024-05-10,8508065.00887993,Pending
B1854,1854,2024-03-11,9899017.88900115,Paid
B1860,1860,2024-11-13,13958847.547930079,Paid
B1861,1861,2024-07-17,16793561.422559198,Pending
B1867,1867,2024-07-30,22410911.62775962,Pending
B1869,1869,2024-08-19,18005999.02067761,Partial
B1871,1871,2025-01-23,9374156.62436898,Pending
B1873,1873,2024-08-18,14607482.725243488,Pending
B1894,1894,2024-06-14,3505158.98716806,Paid
B1896,1896,2024-07-02,16097476.342618668,Partial
B1901,1901,2024-10-20,11040145.550086569,Partial
B1912,1912,2024-02-13,19723165.298703212,Partial
B1922,1922,2024-10-01,22339906.49977536,Partial
B1928,1928,2024-07-14,5995253.2050845325,Pending
B1930,1930,2024-05-25,18038347.204599723,Pending
B1942,1942,2024-02-03,18285581.089513596,Partial
B1946,1946,2024-09-24,14034969.113296032,Paid
B1950,1950,2024-02-16,4204408.220853622,Partial
B1951,1951,2024-07-24,15631641.781300643,Partial
B1955,1955,2024-06-24,13126968.376331713,Partial
B1956,1956,2024-05-29,7866241.5454588225,Pending
B1959,1959,2024-09-02,12438809.262817614,Partial
B1964,1964,2024-08-24,11570018.738360591,Partial
B1965,1965,2024-11-28,11538999.589702202,Paid
B1978,1978,2024-04-09,4056585.13336381,Pending
B1988,1988,2024-12-07,9455154.307849083,Paid
B1994,1994,2024-08-18,19703171.08889133,Pending
B1995,1995,2024-08-07,20227448.205771297,Partial
B2001,2001,2024-09-25,20289440.775777288,Pending
B2005,2005,2024-07-04,8750534.385273771,Partial
B2008,2008,2024-06-04,13925067.238252532,Paid
B2011,2011,2024-08-01,14286460.996687047,Pending
B2015,2015,2024-10-28,14867846.133731114,Pending
B2025,2025,2024-08-18,7616120.158916286,Pending
B2026,2026,2024-11-09,7980314.65099489,Partial
B2035,2035,2024-04-09,8798240.476118542,Paid
B2051,2051,2024-05-24,10883828.4318249,Paid
B2053,2053,2024-04-07,14717681.735084733,Partial
B2065,2065,2025-01-03,19710033.35365116,Pending
B2078,2078,2024-10-12,11146350.288880732,Paid
B2080,2080,2024-05-08,17227495.91083518,Paid
B2081,2081,2024-06-20,19388687.125215285,Partial
B2086,2086,2024-10-23,17137928.78125283,Paid
B2092,2092,2024-09-10,15398263.809062777,Partial
B2097,2097,2024-08-29,18446038.289028946,Pending
B2098,2098,2024-07-13,17167915.121305086,Pending
B2114,2114,2025-01-08,20112250.15725145,Pending
B2118,2118,2024-10-11,14800080.008642217,Pending
B2132,2132,2024-07-06,11904099.848774802,Paid
B2133,2133,2024-07-28,9520428.084859084,Partial
B2135,2135,2024-11-01,5759928.460358986,Partial
B2139,2139,2025-01-22,15483774.869679177,Partial
B2161,2161,2024-09-19,8985071.514844183,Pending
B2165,2165,2024-12-14,14593087.52969484,Partial
B2179,2179,2024-06-24,15817302.12230717,Pending
B2183,2183,2024-12-19,3833128.683183259,Paid
B2207,2207,2024-12-13,9669776.81774072,Pending
B2208,2208,2024-05-21,11234742.678546987,Partial
B2209,2209,2024-07-14,18910507.538267374,Pending
B2210,2210,2024-07-27,12218494.497282796,Paid
B2212,2212,2024-11-18,18113633.859807346,Partial
B2215,2215,2024-06-18,14289112.073881146,Paid
B2216,2216,2024-09-08,10294514.052980749,Partial
B2219,2219,2024-05-01,8128088.551798929,Partial
B2222,2222,2024-10-17,8634685.950659962,Pending
B2238,2238,2024-07-01,15215694.844822625,Partial
B2246,2246,2024-04-26,3594596.897287871,Pending
B2261,2261,2024-11-09,11139487.131164234,Paid
B2262,2262,2024-05-08,4003438.201882177,Pending
B2269,2269,2024-05-21,9704463.699335152,Paid
B2275,2275,2024-02-03,17026427.520684864,Paid
B2279,2279,2024-07-30,15447788.647847954,Pending
B2289,2289,2024-03-22,5963101.710046237,Partial
B2297,2297,2024-03-29,10465590.217004512,Pending
B2307,2307,2024-08-12,23563354.933107287,Partial
B2309,2309,2024-04-01,5483217.44063276,Paid
B2312,2312,2024-04-07,12792093.992210336,Partial
B2317,2317,2024-10-22,19050932.64510054,Paid
B2320,2320,2024-05-28,18543173.65362285,Partial
B2325,2325,2024-10-01,18571325.51713078,Paid
B2332,2332,2024-11-13,5554975.427098825,Paid
B2337,2337,2024-09-18,10541141.25340673,Paid
B2338,2338,2024-06-04,8232148.598211205,Paid
B2341,2341,2024-09-23,4738288.836094863,Paid
B2357,2357,2025-01-09,4445091.333263713,Paid
B2360,2360,2024-08-27,10932154.924096059,Paid
B2361,2361,2024-10-11,8495338.69580268,Paid
B2364,2364,2024-10-28,16128211.01820074,Pending
B2367,2367,2025-02-03,12241020.438126905,Pending
B2369,2369,2024-11-13,17194870.379835974,Partial
B2373,2373,2024-05-31,20383871.02079648,Pending
B2382,2382,2024-09-24,14297048.863581678,Paid
B2383,2383,2024-03-05,15147389.271714585,Pending
B2387,2387,2024-04-16,12343616.691071887,Paid
B2401,2401,2024-12-02,15676702.50769337,Partial
B2406,2406,2024-03-19,9375189.811682424,Partial
B2410,2410,2024-03-10,9597445.631434795,Pending
B2411,2411,2024-04-17,12581451.514994796,Pending
B2417,2417,2024-04-30,4679615.881168448,Pending
B2418,2418,2024-08-27,9083194.693074923,Paid
B2422,2422,2025-02-10,16190796.11684671,Paid
B2428,2428,2024-11-25,12098894.644188657,Pending
B2436,2436,2024-12-12,15185830.402589098,Paid
B2437,2437,2024-11-15,14159207.695824984,Paid
B2442,2442,2024-11-09,16799640.517943338,Paid
B2450,2450,2024-02-23,6242177.737311657,Partial
B2469,2469,2024-10-19,7264221.259923849,Paid
B2489,2489,2024-03-17,11772298.393239973,Partial
B2495,2495,2024-11-07,3411482.3306992278,Pending
B2499,2499,2024-04-15,18590442.42990017,Pending
B2500,2500,2024-12-18,7314191.264820407,Pending
B2506,2506,2024-05-06,11379372.585484315,Paid
B2512,2512,2024-06-04,6618377.432261015,Partial
B2514,2514,2024-10-29,10259589.064950662,Pending
B2515,2515,2024-06-29,13980319.190925285,Partial
B2524,2524,2024-12-28,14061302.030063864,Paid
B2532,2532,2024-11-08,4782751.558183167,Partial
B2536,2536,2024-06-09,15064356.787389457,Partial
B2540,2540,2024-02-27,19762801.090181906,Paid
B2543,2543,2024-04-17,16126359.46334342,Pending
B2545,2545,2024-05-26,13219166.89070169,Paid
B2550,2550,2025-02-23,19778201.09770908,Partial
B2551,2551,2024-12-16,11389451.943181314,Partial
B2557,2557,2024-08-13,15046206.301000908,Paid
B2562,2562,2024-06-24,5100587.534197116,Pending
B2564,2564,2024-11-18,15271679.36392977,Pending
B2576,2576,2024-02-25,14756030.22517301,Pending
B2581,2581,2024-11-06,20419491.082209665,Paid
B2586,2586,2024-06-16,6380141.235517418,Partial
B2594,2594,2024-02-11,10444756.483006908,Paid
B2595,2595,2024-02-24,5379799.414426425,Pending
B2616,2616,2024-11-11,8296844.206488567,Pending
B2617,2617,2024-09-16,13781695.021427756,Partial
B2621,2621,2024-10-16,6050278.008051811,Pending
B2622,2622,2024-04-13,18236204.52434234,Partial
B2624,2624,2024-07-22,15883000.155731011,Paid
B2625,2625,2024-02-20,12349462.607022835,Paid
B2640,2640,2024-06-25,8343387.151982909,Pending
B2653,2653,2024-04-02,10563344.904935546,Paid
B2664,2664,2024-11-10,17341364.86301979,Pending
B2670,2670,2025-01-18,11046336.753999133,Pending
B2673,2673,2024-03-07,16916045.870156378,Partial
B2678,2678,2025-01-05,6313959.498435275,Partial
B2685,2685,2024-08-12,20320769.764616165,Partial
B2690,2690,2024-10-22,3233769.334480317,Pending
B2693,2693,2024-12-08,3062544.970697362,Paid
B2695,2695,2024-12-10,9129382.585426101,Paid
B2701,2701,2024-10-01,13920882.35165536,Pending
B2703,2703,2024-11-21,19797522.15777098,Paid
B2707,2707,2024-08-06,3790874.069029859,Partial
B2713,2713,2025-01-17,19690552.059559807,Paid
B2716,2716,2024-09-20,5915197.876635362,Pending
B2718,2718,2024-04-08,4624592.835937462,Paid
B2723,2723,2024-03-20,12433702.708922347,Pending
B2725,2725,2025-01-02,9447516.902097322,Partial
B2728,2728,2025-02-01,21333561.208132185,Paid
B2737,2737,2024-07-16,17049180.53745229,Pending
B2739,2739,2024-10-13,19053840.857268486,Paid
B2741,2741,2024-04-05,10729587.175428066,Paid
B2748,2748,2024-05-15,12656985.867996337,Partial
B2759,2759,2024-04-24,11062369.451884786,Paid
B2761,2761,2024-05-06,15551034.132242423,Paid
B2768,2768,2025-01-17,7275038.803234121,Paid
B2777,2777,2024-07-13,6346076.24444319,Paid
B2784,2784,2025-01-08,11242744.238913212,Partial
B2789,2789,2024-08-27,18083373.221774846,Paid
B2795,2795,2024-10-04,17807550.034559205,Partial
B2799,2799,2024-10-27,15645149.139840903,Pending
B2801,2801,2024-03-29,9876895.124819808,Pending
B2804,2804,2024-10-16,20121580.146539785,Pending
B2814,2814,2024-03-27,18644508.493627504,Paid
B2817,2817,2024-12-14,10830659.247555094,Pending
B2825,2825,2024-09-13,8114641.313807393,Paid
B2827,2827,2024-03-17,22654762.17939361,Paid
B2828,2828,2024-01-30,15940907.601730714,Partial
B2834,2834,2024-05-05,18217130.745450165,Partial
B2845,2845,2024-03-27,19827442.71238337,Partial
B2872,2872,2024-06-04,23039220.98754515,Paid
B2880,2880,2024-05-27,10751620.039331188,Paid
B2897,2897,2024-06-27,7334205.120102652,Pending
B2901,2901,2024-09-18,19086675.5867916,Paid
B2946,2946,2024-03-01,14848847.272238096,Paid
B2948,2948,2024-08-12,11516763.999654189,Paid
B2951,2951,2024-12-28,10365902.292080319,Paid
B2957,2957,2024-12-07,17676386.77517554,Paid
B2977,2977,2024-02-15,10497131.04158764,Pending
B2979,2979,2025-01-12,5702465.909005235,Pending
B2980,2980,2024-11-18,18155830.974865247,Partial
B2982,2982,2024-08-15,15256898.333763307,Partial
B2989,2989,2024-11-20,7126068.313305125,Pending
B3001,3001,2024-12-20,21820412.043526664,Partial
B3027,3027,2024-07-02,10361713.116633132,Pending
B3046,3046,2024-03-22,13094750.468843281,Partial
B3052,3052,2024-11-29,7585769.716524391,Paid
B3054,3054,2024-08-18,16785781.245064925,Paid
B3056,3056,2024-05-10,10205114.43080959,Paid
B3057,3057,2024-09-09,17130083.111847077,Partial
B3060,3060,2025-02-04,17314141.069708772,Partial
B3065,3065,2024-08-18,12984605.129530482,Pending
B3069,3069,2024-02-15,23708120.22084287,Pending
B3074,3074,2024-09-11,7052059.48907836,Paid
B3081,3081,2024-11-21,8807770.528822234,Pending
B3100,3100,2024-05-29,13255955.357987931,Pending
B3106,3106,2025-01-30,17249824.36618256,Partial
B3109,3109,2024-05-17,11518711.63561903,Pending
B3111,3111,2024-11-05,7455652.199843442,Pending
B3117,3117,2024-12-03,11965836.072284298,Partial
B3118,3118,2024-08-26,14695541.622037143,Paid
B3121,3121,2024-05-02,9057729.104554165,Partial
B3127,3127,2024-10-02,14722781.469532756,Partial
B3128,3128,2024-11-14,15155107.101108495,Paid
B3131,3131,2024-11-14,10094656.38593495,Partial
B3135,3135,2024-11-20,12076588.447647694,Partial
B3137,3137,2024-09-30,11225568.245574396,Partial
B3166,3166,2024-11-03,19737179.34641483,Partial
B3167,3167,2024-08-13,11655605.089124803,Partial
B3178,3178,2024-08-15,14513024.063434348,Partial
B3187,3187,2024-05-24,8006202.520097157,Partial
B3195,3195,2024-02-03,7242575.933897654,Pending
B3202,3202,2024-05-18,21089236.256339047,Partial
B3208,3208,2024-03-30,17945640.56922096,Paid
B3209,3209,2024-11-29,15391799.765820498,Partial
B3214,3214,2024-04-29,14511319.128205016,Paid
B3232,3232,2024-05-01,10253110.236523267,Paid
B3233,3233,2024-06-15,13996477.729737302,Paid
B3236,3236,2024-03-31,9865456.64082317,Pending
B3242,3242,2024-07-01,4332440.481678422,Pending
B3247,3247,2024-09-21,10027273.073739039,Pending
B3251,3251,2025-02-03,19807187.57556682,Paid
B3256,3256,2024-11-01,13898835.782457454,Pending
B3261,3261,2024-05-30,10321435.436788648,Pending
